#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
39,Sweden,"2,504,894",,"18,864 ",,"2,476,511",,"9,519",9,"245,188","1,846","18,553,837","1,816,118"
40,Iraq,"2,326,288",+126,"25,216 ",,"2,299,796",+128,"1,276",10,"55,523",602,"18,521,636","442,065"
41,Serbia,"2,012,270",+445,"16,045 ",+3,"1,986,311",+697,"9,914",15,"232,041","1,850","9,586,620","1,105,464"
42,Bangladesh,"1,952,957",+18,"29,127 ",,"1,898,630",+27,"25,200","1,273","11,643",174,"14,043,672","83,725"
43,Hungary,"1,909,948",,"46,343 ",,"1,821,435",,"42,170",29,"198,647","4,820","11,394,556","1,185,105"
44,Slovakia,"1,786,579",+251,"20,018 ",+7,"1,760,011",+917,"6,550",30,"326,940","3,663","7,123,790","1,303,637"
45,Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,043","1,352","16,670,254","1,604,262"
46,Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,413","4,229","16,920,079","4,256,677"
47,Ireland,"1,535,451",+524,"7,203 ",+27,"1,497,973","+4,238","30,275",28,"304,640","1,429","12,144,747","2,409,573"
48,Pakistan,"1,529,080",+93,"30,376 ",,"1,494,141",,"4,563",115,"6,681",133,"28,316,825","123,732"
49,Norway,"1,429,353",,"3,061 ",,N/A,N/A,N/A,20,"259,884",557,"11,002,430","2,000,456"
50,Kazakhstan,"1,305,631",+11,"13,661 ",,"1,291,411",+23,559,24,"68,024",712,"11,575,012","603,061"
51,Singapore,"1,236,850","+4,291","1,362 ",+1,"1,158,385",,"77,103",6,"208,372",229,"23,767,171","4,004,050"
52,Hong Kong,"1,207,963",+298,"9,359 ",+3,N/A,N/A,N/A,5,"158,735","1,230","44,972,952","5,909,774"
53,Morocco,"1,165,625",+73,"16,071 ",,"1,149,003",+39,551,293,"30,900",426,"11,237,010","297,883"
54,Bulgaria,"1,161,351",+313,"37,043 ",+8,"1,014,280","+7,611","110,028",56,"169,507","5,407","9,921,119","1,448,054"
55,Croatia,"1,130,562",+726,"15,920 ",+8,"1,110,059",+916,"4,583",17,"278,582","3,923","4,832,076","1,190,674"
56,Cuba,"1,104,393",+77,"8,529 ",,"1,095,369",+98,495,23,"97,615",754,"12,920,253","1,141,993"
57,Lebanon,"1,097,820",+20,"10,405 ",+1,"1,084,400",,"3,015",186,"162,191","1,537","4,795,578","708,493"
58,Finland,"1,069,740",,"4,284  ",,N/A,N/A,N/A,21,"192,513",771,"10,832,080","1,949,372"
59,Lithuania,"1,060,423",+144,"9,128 ",+1,"1,032,097",+508,"19,198",11,"399,889","3,442","9,954,903","3,754,026"
60,Tunisia,"1,041,197",,"28,575 ",,N/A,N/A,N/A,29,"86,419","2,372","4,592,916","381,210"
61,New Zealand,"1,030,733","+7,528",892 ,+29,"976,483","+7,404","53,358",,"206,060",178,"7,123,862","1,424,174"
62,Slovenia,"1,018,900",+577,"6,619 ",+2,"1,002,588","+1,265","9,693",13,"489,981","3,183","2,656,102","1,277,298"
63,Belarus,"982,867",,"6,978 ",,N/A,N/A,N/A,,"104,078",739,"13,220,483","1,399,948"
64,Nepal,"978,989",+7,"11,952 ",,"966,873",+16,164,,"32,514",397,"5,665,922","188,175"
65,Bolivia,"905,994",+174,"21,926 ",,"863,219",+206,"20,849",220,"75,697","1,832","2,705,422","226,042"
66,Uruguay,"902,540",,"7,213 ",,"892,434",,"2,893",18,"258,157","2,063","6,114,822","1,749,048"
67,UAE,"901,809",+369,"2,302 ",,"885,537",+250,"13,970",,"89,179",228,"158,680,414","15,691,827"
68,Ecuador,"871,046",,"35,602 ",,N/A,N/A,N/A,759,"48,017","1,963","2,470,170","136,169"
69,Costa Rica,"866,164",,"8,444 ",,"841,683",,"16,037",48,"167,197","1,630","4,401,922","849,710"
70,Guatemala,"851,877",+662,"17,792 ",+20,"831,794",+632,"2,291",5,"45,971",960,"4,543,522","245,187"
71,Latvia,"825,699",+229,"5,798 ",+2,"816,253",+410,"3,648",6,"446,930","3,138","7,217,715","3,906,766"
72,Panama,"803,223","+3,248","8,202 ",+3,"771,367","+1,004","23,654",16,"180,870","1,847","6,005,884","1,352,408"
73,Azerbaijan,"792,638",,"9,709 ",,"782,869",,60,,"76,889",942,"6,838,458","663,356"
74,Saudi Arabia,"758,361",+559,"9,111 ",+1,"743,309",+210,"5,941",60,"21,171",254,"42,099,496","1,175,289"
75,Sri Lanka,"663,655",+23,"16,511 ",+1,"646,156",+2,988,,"30,753",765,"6,486,117","300,562"
76,Paraguay,"649,718",,"18,872 ",,"624,673",,"6,173",2,"89,061","2,587","2,633,737","361,022"
77,Taiwan,"635,870","+65,011","1,009 ",+41,"46,143",,"588,718",,"26,609",42,"15,820,952","662,053"
